usageKey,scientificName,canonicalName,authorship,rank,code,status,genericName,infragenericEpithet,specificEpithet,type,formattedName,matchType,confidence,domain,kingdom,phylum,subphylum,class,order,suborder,family,subfamily,tribe,subtribe,genus,subgenus,species,domainKey,kingdomKey,phylumKey,subphylumKey,classKey,orderKey,suborderKey,familyKey,subfamilyKey,tribeKey,subtribeKey,genusKey,subgenusKey,speciesKey,value,easin_scientificName,easin_kingdom,easin_EASINID,easin_checklistKey,is_alternative,subclass,infraclass,subterclass,superorder,infraorder,superfamily,subclassKey,infraclassKey,subterclassKey,superorderKey,infraorderKey,superfamilyKey,subkingdom,subkingdomKey,infraspecificEpithet,variety,varietyKey,acceptedUsageKey,acceptedScientificName,infraphylum,parvphylum,gigaclass,superclass,infraphylumKey,parvphylumKey,gigaclassKey,superclassKey,megaclass,megaclassKey,section_botany,section_botanyKey,note,subspecies,subspeciesKey,processingFlags,series_zoology,series_zoologyKey,infrakingdom,infrakingdomKey,section_zoology,subsection_zoology,section_zoologyKey,subsection_zoologyKey,unranked,realm,unrankedKey,realmKey,parvorder,parvorderKey,epifamily,epifamilyKey,supertribe,supertribeKey,nanorder,nanorderKey,form,formKey,easin_Name,easin_Authorship,easin_FirstIntroductionsInEU,easin_PresentInCountries,easin_Status,easin_HasImpact,easin_IsEUConcern,easin_EUConcernName,easin_IsOutermostConcern,easin_ConcernedOutermostRegions,easin_IsMSConcern,easin_ConcernedMS,easin_IsPartNative,easin_NativeRange,easin_IsHorizonScanning,easin_LastRevisionDate,easin_Phylum,easin_Class,easin_Order,easin_Family,easin_ImpactSources,easin_ImpactOnSectors,easin_CommonNames,easin_Synonyms,easin_CBD_Pathways
8L46,"Ablennes hians (Valenciennes, 1846)",Ablennes hians,"(Valenciennes, 1846)",SPECIES,ZOOLOGICAL,ACCEPTED,Ablennes,,hians,SCIENTIFIC,"<i>Ablennes</i> <i>hians</i> (Valenciennes, 1846)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Beloniformes,,Belonidae,,,,Ablennes,,Ablennes hians,CS5HF,N,CH2,8V4V3,8V4VD,T6,,KTZ9Y,,,,KTZ54,,8L46,FALSE,"Ablennes hians (Valenciennes, 1846)",Animalia,R20136,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ablennes hians,"(Valenciennes, 1846)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Beloniformes,Belonidae,,,,,
64B9M,"Abudefduf saxatilis (Linnaeus, 1758)",Abudefduf saxatilis,"(Linnaeus, 1758)",SPECIES,ZOOLOGICAL,ACCEPTED,Abudefduf,,saxatilis,SCIENTIFIC,"<i>Abudefduf</i> <i>saxatilis</i> (Linnaeus, 1758)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Perciformes,,Pomacentridae,,,,Abudefduf,,Abudefduf saxatilis,CS5HF,N,CH2,8V4V3,8V4VD,PC,,KVMJ7,,,,KTZ6M,,64B9M,FALSE,"Abudefduf cf. saxatilis (Linnaeus, 1758)",Animalia,R20210,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abudefduf cf. saxatilis,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Perciformes,Pomacentridae,,,,,
8MR9,"Abudefduf hoefleri (Steindachner, 1881)",Abudefduf hoefleri,"(Steindachner, 1881)",SPECIES,ZOOLOGICAL,ACCEPTED,Abudefduf,,hoefleri,SCIENTIFIC,"<i>Abudefduf</i> <i>hoefleri</i> (Steindachner, 1881)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Perciformes,,Pomacentridae,,,,Abudefduf,,Abudefduf hoefleri,CS5HF,N,CH2,8V4V3,8V4VD,PC,,KVMJ7,,,,KTZ6M,,8MR9,FALSE,"Abudefduf hoefleri (Steindachner, 1881)",Animalia,R19331,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abudefduf hoefleri,"(Steindachner, 1881)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Perciformes,Pomacentridae,,,,,
64B9M,"Abudefduf saxatilis (Linnaeus, 1758)",Abudefduf saxatilis,"(Linnaeus, 1758)",SPECIES,ZOOLOGICAL,ACCEPTED,Abudefduf,,saxatilis,SCIENTIFIC,"<i>Abudefduf</i> <i>saxatilis</i> (Linnaeus, 1758)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Perciformes,,Pomacentridae,,,,Abudefduf,,Abudefduf saxatilis,CS5HF,N,CH2,8V4V3,8V4VD,PC,,KVMJ7,,,,KTZ6M,,64B9M,FALSE,"Abudefduf saxatilis (Linnaeus, 1758)",,R00027,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abudefduf saxatilis,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,
8MSN,"Abudefduf sexfasciatus (Lacepède, 1801)",Abudefduf sexfasciatus,"(Lacepède, 1801)",SPECIES,ZOOLOGICAL,ACCEPTED,Abudefduf,,sexfasciatus,SCIENTIFIC,"<i>Abudefduf</i> <i>sexfasciatus</i> (Lacepède, 1801)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Perciformes,,Pomacentridae,,,,Abudefduf,,Abudefduf sexfasciatus,CS5HF,N,CH2,8V4V3,8V4VD,PC,,KVMJ7,,,,KTZ6M,,8MSN,FALSE,"Abudefduf sexfasciatus (Lacepède, 1801)",Animalia,R19652,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abudefduf sexfasciatus,"(Lacepède, 1801)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Perciformes,Pomacentridae,,,,,
8MSQ,"Abudefduf sordidus (Forsskål, 1775)",Abudefduf sordidus,"(Forsskål, 1775)",SPECIES,ZOOLOGICAL,ACCEPTED,Abudefduf,,sordidus,SCIENTIFIC,"<i>Abudefduf</i> <i>sordidus</i> (Forsskål, 1775)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Perciformes,,Pomacentridae,,,,Abudefduf,,Abudefduf sordidus,CS5HF,N,CH2,8V4V3,8V4VD,PC,,KVMJ7,,,,KTZ6M,,8MSQ,FALSE,"Abudefduf sordidus (Forsskål, 1775)",Animalia,R20399,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abudefduf sordidus,"(Forsskål, 1775)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Teleostei,Ovalentaria,Pomacentridae,,,,,
8MSV,"Abudefduf taurus (Müller & Troschel, 1848)",Abudefduf taurus,"(Müller & Troschel, 1848)",SPECIES,ZOOLOGICAL,ACCEPTED,Abudefduf,,taurus,SCIENTIFIC,"<i>Abudefduf</i> <i>taurus</i> (Müller & Troschel, 1848)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Perciformes,,Pomacentridae,,,,Abudefduf,,Abudefduf taurus,CS5HF,N,CH2,8V4V3,8V4VD,PC,,KVMJ7,,,,KTZ6M,,8MSV,FALSE,"Abudefduf taurus (Müller & Troschel, 1848)",Animalia,R20754,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abudefduf taurus,"(Müller & Troschel, 1848)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Teleostei,Ovalentaria,Pomacentridae,,,,,
8MT7,"Abudefduf vaigiensis (Quoy & Gaimard, 1825)",Abudefduf vaigiensis,"(Quoy & Gaimard, 1825)",SPECIES,ZOOLOGICAL,ACCEPTED,Abudefduf,,vaigiensis,SCIENTIFIC,"<i>Abudefduf</i> <i>vaigiensis</i> (Quoy & Gaimard, 1825)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Perciformes,,Pomacentridae,,,,Abudefduf,,Abudefduf vaigiensis,CS5HF,N,CH2,8V4V3,8V4VD,PC,,KVMJ7,,,,KTZ6M,,8MT7,FALSE,"Abudefduf vaigiensis (Quoy & Gaimard, 1825)",Animalia,R19332,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abudefduf vaigiensis,"(Quoy & Gaimard, 1825)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Perciformes,Pomacentridae,,,,,
85L2J,"Acantharctus posteli (Forest, 1963)",Acantharctus posteli,"(Forest, 1963)",SPECIES,ZOOLOGICAL,ACCEPTED,Acantharctus,,posteli,SCIENTIFIC,"<i>Acantharctus</i> <i>posteli</i> (Forest, 1963)",EXACT,100,Eukaryota,Animalia,Arthropoda,Crustacea,Malacostraca,Decapoda,Pleocyemata,Scyllaridae,Scyllarinae,,,Acantharctus,,Acantharctus posteli,CS5HF,N,RT,KZX8B,MC,33N,7NFJ8,84KRS,84KZ3,,,858FK,,85L2J,FALSE,"Acantharctus posteli (Forest, 1963)",Animalia,R17484,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,Achelata,,,,,,857XK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acantharctus posteli,"(Forest, 1963)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Arthropoda,Malacostraca,Decapoda,Scyllaridae,,,,,
8TF2,"Acanthaster planci (Linnaeus, 1758)",Acanthaster planci,"(Linnaeus, 1758)",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthaster,,planci,SCIENTIFIC,"<i>Acanthaster</i> <i>planci</i> (Linnaeus, 1758)",EXACT,100,Eukaryota,Animalia,Echinodermata,Asterozoa,Asteroidea,,,Acanthasteridae,,,,Acanthaster,,Acanthaster planci,CS5HF,N,CHN,7NF2N,B8V3Q,,,62333,,,,7NMJX,,8TF2,FALSE,"Acanthaster planci (Linnaeus, 1758)",Animalia,R16519,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Ambuloasteroidea,Neoasteroidea,,Valvatacea,,,8VLBJ,8VLBK,,7NF63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthaster planci,"(Linnaeus, 1758)",,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Echinodermata,Asteroidea,Valvatida,Acanthasteridae,,,,,
8YV5,"Acanthopagrus bifasciatus (Forsskål, 1775)",Acanthopagrus bifasciatus,"(Forsskål, 1775)",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthopagrus,,bifasciatus,SCIENTIFIC,"<i>Acanthopagrus</i> <i>bifasciatus</i> (Forsskål, 1775)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Perciformes,Percoidei,Sparidae,,,,Acanthopagrus,,Acanthopagrus bifasciatus,CS5HF,N,CH2,8V4V3,8V4VD,PC,KVMBP,KVSZW,,,,KTZVY,,8YV5,FALSE,"Acanthopagrus bifasciatus (Forsskål, 1775)",Animalia,R18239,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthopagrus bifasciatus,"(Forsskål, 1775)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Perciformes,Sparidae,,,,,
LXDZT,Acanthophora spicifera (Vahl) Borgesen,Acanthophora spicifera,(Vahl) Borgesen,SPECIES,BOTANICAL,ACCEPTED,Acanthophora,,spicifera,SCIENTIFIC,<i>Acanthophora</i> <i>spicifera</i> (Vahl) Borgesen,EXACT,100,Eukaryota,Plantae,Rhodophyta,Eurhodophytina,Florideophyceae,Ceramiales,,Rhodomelaceae,,,,Acanthophora,,Acanthophora spicifera,CS5HF,P,L2MHG,6S,BN,WG,,FQJ,,,,627NZ,,LXDZT,FALSE,Acanthophora spicifera (M.Vahl) Børgesen,Plantae,R00083,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthophora spicifera,(M.Vahl) Børgesen,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,,,,
929K,"Acanthostracion polygonium Poey, 1876",Acanthostracion polygonium,"Poey, 1876",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthostracion,,polygonium,SCIENTIFIC,"<i>Acanthostracion</i> <i>polygonium</i> Poey, 1876",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Tetraodontiformes,Balistoidei,Ostraciidae,,,,Acanthostracion,,Acanthostracion polygonium,CS5HF,N,CH2,8V4V3,8V4VD,47D,V97TX,KVKJS,,,,KTZY7,,929K,FALSE,"Acanthostracion polygonium Poey, 1876",Animalia,R20755,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthostracion polygonium,"Poey, 1876",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,,,,,
92LV,"Acanthurus bahianus Castelnau, 1855",Acanthurus bahianus,"Castelnau, 1855",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthurus,,bahianus,SCIENTIFIC,"<i>Acanthurus</i> <i>bahianus</i> Castelnau, 1855",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Acanthuriformes,,Acanthuridae,,,,Acanthurus,,Acanthurus bahianus,CS5HF,N,CH2,8V4V3,8V4VD,KTZYT,,KTYZ3,,,,KTZYY,,92LV,FALSE,"Acanthurus bahianus Castelnau, 1855",Animalia,R20400,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthurus bahianus,"Castelnau, 1855",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Teleostei,Acanthuriformes,Acanthuridae,,,,,
92MG,"Acanthurus chirurgus (Bloch, 1787)",Acanthurus chirurgus,"(Bloch, 1787)",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthurus,,chirurgus,SCIENTIFIC,"<i>Acanthurus</i> <i>chirurgus</i> (Bloch, 1787)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Acanthuriformes,,Acanthuridae,,,,Acanthurus,,Acanthurus chirurgus,CS5HF,N,CH2,8V4V3,8V4VD,KTZYT,,KTYZ3,,,,KTZYY,,92MG,FALSE,"Acanthurus chirurgus (Bloch, 1787)",Animalia,R19333,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthurus chirurgus,"(Bloch, 1787)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Perciformes,Acanthuridae,,,,,
92MK,"Acanthurus coeruleus Bloch & Schneider, 1801",Acanthurus coeruleus,"Bloch & Schneider, 1801",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthurus,,coeruleus,SCIENTIFIC,"<i>Acanthurus</i> <i>coeruleus</i> Bloch & Schneider, 1801",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Acanthuriformes,,Acanthuridae,,,,Acanthurus,,Acanthurus coeruleus,CS5HF,N,CH2,8V4V3,8V4VD,KTZYT,,KTYZ3,,,,KTZYY,,92MK,FALSE,"Acanthurus coeruleus Bloch & Schneider, 1801",Animalia,R19118,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthurus coeruleus,"Bloch & Schneider, 1801",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Perciformes,Acanthuridae,,,,,
92NB,"Acanthurus gahhm (Forsskål, 1775)",Acanthurus gahhm,"(Forsskål, 1775)",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthurus,,gahhm,SCIENTIFIC,"<i>Acanthurus</i> <i>gahhm</i> (Forsskål, 1775)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Acanthuriformes,,Acanthuridae,,,,Acanthurus,,Acanthurus gahhm,CS5HF,N,CH2,8V4V3,8V4VD,KTZYT,,KTYZ3,,,,KTZYY,,92NB,FALSE,"Acanthurus gahhm (Forsskål, 1775)",Animalia,R22134,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthurus gahhm,"(Forsskål, 1775)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Teleostei,Acanthuriformes,Acanthuridae,,,,,
92PN,"Acanthurus monroviae Steindachner, 1876",Acanthurus monroviae,"Steindachner, 1876",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthurus,,monroviae,SCIENTIFIC,"<i>Acanthurus</i> <i>monroviae</i> Steindachner, 1876",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Acanthuriformes,,Acanthuridae,,,,Acanthurus,,Acanthurus monroviae,CS5HF,N,CH2,8V4V3,8V4VD,KTZYT,,KTYZ3,,,,KTZYY,,92PN,FALSE,"Acanthurus monroviae Steindachner, 1876",Animalia,R00094,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthurus monroviae,"Steindachner, 1876",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Teleostei,Acanthuriformes,Acanthuridae,,,,,
92QW,"Acanthurus sohal (Forsskål, 1775)",Acanthurus sohal,"(Forsskål, 1775)",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthurus,,sohal,SCIENTIFIC,"<i>Acanthurus</i> <i>sohal</i> (Forsskål, 1775)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Acanthuriformes,,Acanthuridae,,,,Acanthurus,,Acanthurus sohal,CS5HF,N,CH2,8V4V3,8V4VD,KTZYT,,KTYZ3,,,,KTZYY,,92QW,FALSE,"Acanthurus sohal (Forsskål, 1775)",Animalia,R19653,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthurus sohal,"(Forsskål, 1775)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Perciformes,Acanthuridae,,,,,
92R8,"Acanthurus tractus Poey, 1860",Acanthurus tractus,"Poey, 1860",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthurus,,tractus,SCIENTIFIC,"<i>Acanthurus</i> <i>tractus</i> Poey, 1860",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Acanthuriformes,,Acanthuridae,,,,Acanthurus,,Acanthurus tractus,CS5HF,N,CH2,8V4V3,8V4VD,KTZYT,,KTYZ3,,,,KTZYY,,92R8,FALSE,"Acanthurus tractus Poey, 1860",Animalia,R20401,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthurus tractus,"Poey, 1860",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Teleostei,Acanthuriformes,Acanthuridae,,,,,
92RN,"Acanthurus xanthopterus Valenciennes, 1835",Acanthurus xanthopterus,"Valenciennes, 1835",SPECIES,ZOOLOGICAL,ACCEPTED,Acanthurus,,xanthopterus,SCIENTIFIC,"<i>Acanthurus</i> <i>xanthopterus</i> Valenciennes, 1835",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Acanthuriformes,,Acanthuridae,,,,Acanthurus,,Acanthurus xanthopterus,CS5HF,N,CH2,8V4V3,8V4VD,KTZYT,,KTYZ3,,,,KTZYY,,92RN,FALSE,"Acanthurus xanthopterus Valenciennes, 1835",Animalia,R22113,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthurus xanthopterus,"Valenciennes, 1835",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Teleostei,Acanthuriformes,Acanthuridae,,,,,
92VX,"Acar plicata (Dillwyn, 1817)",Acar plicata,"(Dillwyn, 1817)",SPECIES,ZOOLOGICAL,ACCEPTED,Acar,,plicata,SCIENTIFIC,"<i>Acar</i> <i>plicata</i> (Dillwyn, 1817)",EXACT,100,Eukaryota,Animalia,Mollusca,,Bivalvia,Arcida,,Arcidae,,,,Acar,,Acar plicata,CS5HF,N,M2L,,7NF3C,7NFXP,,7NFZ3,,,,7NMNZ,,92VX,FALSE,"Acar plicata (Dillwyn, 1817)",Animalia,R00099,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Autobranchia,Pteriomorphia,,,,Arcoidea,7NVXG,7NF5P,,,,7NGGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acar plicata,"(Dillwyn, 1817)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Mollusca,Bivalvia,Arcoida,Arcidae,,,,,
93BB,"Acartia (Acartiura) omorii Bradford, 1976",Acartia omorii,"Bradford, 1976",SPECIES,ZOOLOGICAL,ACCEPTED,Acartia,Acartiura,omorii,SCIENTIFIC,"<i>Acartia</i> (<i>Acartiura</i>) <i>omorii</i> Bradford, 1976",EXACT,100,Eukaryota,Animalia,Arthropoda,Crustacea,Copepoda,,,Acartiidae,,,,Acartia,Acartiura,Acartia omorii,CS5HF,N,RT,KZX8B,B8V3R,,,7NFSL,,,,7NMPD,7ZFTT,93BB,FALSE,"Acartia (Acartiura) omorii Bradford, 1976",Animalia,R00102,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,Neocopepoda,,Gymnoplea,,,,7NF5S,,7NF5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acartia (Acartiura) omorii,"Bradford, 1976",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Arthropoda,Maxillopoda,Calanoida,Acartiidae,,,,,
93BQ,"Acartia (Odontacartia) centrura Giesbrecht, 1889",Acartia centrura,"Giesbrecht, 1889",SPECIES,ZOOLOGICAL,ACCEPTED,Acartia,Odontacartia,centrura,SCIENTIFIC,"<i>Acartia</i> (<i>Odontacartia</i>) <i>centrura</i> Giesbrecht, 1889",EXACT,100,Eukaryota,Animalia,Arthropoda,Crustacea,Copepoda,,,Acartiidae,,,,Acartia,Odontacartia,Acartia centrura,CS5HF,N,RT,KZX8B,B8V3R,,,7NFSL,,,,7NMPD,7ZFTX,93BQ,FALSE,"Acartia (Odontacartia) centrura Giesbrecht, 1889",Animalia,R16354,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,Neocopepoda,,Gymnoplea,,,,7NF5S,,7NF5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acartia (Odontacartia) centrura,"Giesbrecht, 1889",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Arthropoda,Maxillopoda,Calanoida,Acartiidae,,,,,
96LF,"Achelia sawayai Marcus, 1940",Achelia sawayai,"Marcus, 1940",SPECIES,ZOOLOGICAL,ACCEPTED,Achelia,,sawayai,SCIENTIFIC,"<i>Achelia</i> <i>sawayai</i> Marcus, 1940",EXACT,100,Eukaryota,Animalia,Arthropoda,Chelicerata,Pycnogonida,Pantopoda,Eupantopodida,Ammotheidae,Achelinae,,,Achelia,,Achelia sawayai,CS5HF,N,RT,KZWYC,B8V3Z,84JQW,84JRX,84JVG,BV4YS,,,84L4G,,96LF,FALSE,"Achelia sawayai Marcus, 1940",Animalia,R21257,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,Ammotheoidea,,,,,,BV4YQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achelia sawayai,"Marcus, 1940",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Arthropoda,Pycnogonida,,,,,,,
